"SNUM","DOMSOI","ID","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Long","Lat","GroupCat","species","TEST_LOCALE"
4790,"Kh",148,220,149,45,6390,373,49,324,264,152,297,134,409,80,9,58,173,41,139,46,-101.0808,27.22073,"mapimienss","collis","Y"
4759,"I",149,211,156,49,5889,356,43,313,249,148,281,132,307,60,7,58,136,32,108,37,-101.7080818,27.02917,"mapimienss","collis",NA
4759,"I",150,212,156,49,5890,357,43,314,250,149,282,132,306,59,7,58,135,32,108,37,-101.69467,26.99933,"mapimienss","collis",NA
4992,"Rc",151,210,176,47,7328,385,11,374,288,129,298,111,294,81,4,96,182,17,130,17,-104.634,29.5302778,"mapimienss","collis",NA
5006,"Re",152,200,166,45,7095,368,7,361,275,120,285,105,310,69,2,97,199,11,166,16,-104.88139,29.37569,"mapimienss","collis",NA
4992,"Rc",153,186,160,47,6492,347,8,339,253,114,264,98,314,64,6,84,186,21,166,24,-104.17086,29.224541,"mapimienss","collis",NA
4992,"Rc",154,189,157,46,6487,349,12,337,256,117,267,101,328,66,7,82,191,22,164,24,-103.948,29.151,"mapimienss","collis",NA
4992,"Rc",155,195,159,46,6651,358,14,344,263,122,275,105,323,67,6,85,189,20,159,22,-103.907219,29.106648,"mapimienss","collis",NA
4992,"Rc",156,187,156,46,6414,346,12,334,253,116,264,100,333,68,7,84,196,22,167,24,-103.917735,29.099179,"mapimienss","collis",NA
4992,"Rc",157,171,152,47,5961,322,3,319,231,138,241,89,365,79,6,89,227,24,195,29,-104.1551089,28.9197705,"mapimienss","collis",NA
5007,"Re",158,172,152,47,5975,324,5,319,232,139,243,90,356,77,6,91,223,24,190,29,-104.166,28.858,"mapimienss","collis",NA
5007,"Re",159,172,152,47,5975,324,5,319,232,139,243,90,356,77,6,91,223,24,190,29,-104.166,28.858,"mapimienss","collis",NA
5069,"Yh",160,194,165,47,6505,358,12,346,261,125,274,108,318,79,2,102,217,14,162,20,-105.415175,28.421474,"mapimienss","collis",NA
5051,"Xk",161,188,167,48,6173,350,8,342,249,122,262,105,339,84,4,100,226,19,199,23,-105.2,27.89,"mapimienss","collis",NA
